uniquename	name	refseq_id
FBtr0072342	Fcp1-RA	REFSEQ:NM_138090
FBtr0072343	Nurf-38-RA	REFSEQ:NM_079125
FBtr0072344	CG4622-RA	REFSEQ:NM_138085
FBtr0072346	CG4612-RA	REFSEQ:NM_138080
FBtr0072347	Letm1-RA	REFSEQ:NM_166674
FBtr0072348	Letm1-RB	REFSEQ:NM_138078
FBtr0072349	Letm1-RC	REFSEQ:NM_166675
FBtr0072350	Prosalpha4T2-RA	REFSEQ:NM_138076
FBtr0072351	Ssl-RA	REFSEQ:NM_079124
FBtr0072353	CG13590-RA	REFSEQ:NM_138075
FBtr0072354	CG13589-RA	REFSEQ:NM_138074
FBtr0072355	CG4563-RA	REFSEQ:NM_138069
FBtr0072356	Pgam5-2-RA	REFSEQ:NM_138067
FBtr0072357	CG15873-RA	REFSEQ:NM_138066
FBtr0072362	SerT-RA	REFSEQ:NM_079122
FBtr0072363	Slik-RA	REFSEQ:NM_138064
FBtr0072364	Slik-RB	REFSEQ:NM_166669
FBtr0072366	Slik-RD	REFSEQ:NM_206213
FBtr0072367	mAChR-A-RA	REFSEQ:NM_166668
FBtr0072368	mAChR-A-RB	REFSEQ:NM_079120
FBtr0072369	Usp15-31-RA	REFSEQ:NM_138115
FBtr0072370	spz6-RA	REFSEQ:NM_138117
FBtr0072371	CG3880-RA	REFSEQ:NM_138118
FBtr0072374	CG3594-RA	REFSEQ:NM_079131
FBtr0072375	CG3589-RA	REFSEQ:NM_138124
FBtr0072376	CG12849-RA	REFSEQ:NM_138125
FBtr0072377	CG3611-RA	REFSEQ:NM_138126
FBtr0072378	Dll-RB	REFSEQ:NM_166689
FBtr0072379	Dll-RA	REFSEQ:NM_079133
FBtr0072380	CG3650-RA	REFSEQ:NM_138127
FBtr0072391	CG3760-RB	REFSEQ:NM_138137
FBtr0072392	CG3760-RA	REFSEQ:NM_166700
FBtr0072393	CG3770-RA	REFSEQ:NM_138141
FBtr0072395	CG3776-RA	REFSEQ:NM_138145
FBtr0072396	bez-RA	REFSEQ:NM_138148
FBtr0072397	uzip-RA	REFSEQ:NM_079137
FBtr0072398	zip-RB	REFSEQ:NM_166704
FBtr0072399	zip-RA	REFSEQ:NM_079136
FBtr0072400	emp-RC	REFSEQ:NM_166703
FBtr0072401	emp-RB	REFSEQ:NM_166702
FBtr0072402	emp-RA	REFSEQ:NM_079135
FBtr0072403	CG2736-RA	REFSEQ:NM_138147
FBtr0072404	Phk-3-RA	REFSEQ:NM_138146
FBtr0072405	RpL19-RA	REFSEQ:NM_057283
FBtr0072406	RpL19-RB	REFSEQ:NM_206219
FBtr0072409	CG2790-RA	REFSEQ:NM_138142
FBtr0072410	CG15861-RA	REFSEQ:NM_138140
FBtr0072411	Tina-1-RA	REFSEQ:NM_138139
FBtr0072412	CG2811-RA	REFSEQ:NM_138138
FBtr0072413	CG30427-RC	REFSEQ:NM_166697
FBtr0072414	CG30427-RB	REFSEQ:NM_138136
FBtr0072415	CG30427-RA	REFSEQ:NM_166698
FBtr0072416	CG30427-RD	REFSEQ:NM_166699
FBtr0072417	pain-RA	REFSEQ:NM_138135
FBtr0072420	Ance-5-RA	REFSEQ:NM_133164
FBtr0072423	CG16896-RA	REFSEQ:NM_138129
FBtr0072425	Orc4-RA	REFSEQ:NM_057972
FBtr0072426	ETH-RA	REFSEQ:NM_079960
FBtr0072427	Reg-5-RA	REFSEQ:NM_057825
FBtr0072428	key-RA	REFSEQ:NM_079132
FBtr0072429	TyrRS-m-RA	REFSEQ:NM_138123
FBtr0072430	Lcp9-RA	REFSEQ:NM_079130
FBtr0072433	Eps-15-RC	REFSEQ:NM_166686
FBtr0072434	Eps-15-RB	REFSEQ:NM_166687
FBtr0072435	Eps-15-RA	REFSEQ:NM_138121
FBtr0072436	GstE12-RA	REFSEQ:NM_138120
FBtr0072437	CG12848-RA	REFSEQ:NM_144050
FBtr0072441	SiaT-RB	REFSEQ:NM_079129
FBtr0072442	SiaT-RA	REFSEQ:NM_166684
FBtr0072443	Nplp1-RA	REFSEQ:NM_138149
FBtr0072444	gsb-RA	REFSEQ:NM_079139
FBtr0072448	CG30430-RA	REFSEQ:NM_166706
FBtr0072449	Kr-RA	REFSEQ:NM_079143
FBtr0072450	CG30429-RA	REFSEQ:NM_166708
FBtr0072451	CG30428-RA	REFSEQ:NM_166709
FBtr0072454	Ebp-RA	REFSEQ:NM_138151
FBtr0072455	EbpII-RA	REFSEQ:NM_079142
FBtr0072457	lov-RB	REFSEQ:NM_079141
FBtr0072458	lov-RC	REFSEQ:NM_145761
FBtr0072459	gol-RB	REFSEQ:NM_166705
FBtr0072461	gsb-n-RA	REFSEQ:NM_079138
FBtr0072462	mthl8-RA	REFSEQ:NM_138154
FBtr0072463	Lsp1gamma-RA	REFSEQ:NM_079144
FBtr0072464	Pdk1-RD	REFSEQ:NM_167790
FBtr0072465	Pdk1-RA	REFSEQ:NM_080382
FBtr0072466	Pdk1-RH	REFSEQ:NM_167792
FBtr0072467	Pdk1-RF	REFSEQ:NM_167791
FBtr0072468	Pdk1-RC	REFSEQ:NM_167789
FBtr0072469	Pdk1-RG	REFSEQ:NM_167795
FBtr0072470	Pdk1-RB	REFSEQ:NM_167793
FBtr0072471	Pdk1-RE	REFSEQ:NM_167794
FBtr0072475	p130CAS-RB	REFSEQ:NM_167797
FBtr0072476	CG13875-RA	REFSEQ:NM_138161
FBtr0072477	Mtch-RB	REFSEQ:NM_167799
FBtr0072478	Mtch-RA	REFSEQ:NM_079145
FBtr0072479	Mtch-RC	REFSEQ:NM_167800
FBtr0072480	mri-RB	REFSEQ:NM_138164
FBtr0072481	mri-RA	REFSEQ:NM_167801
FBtr0072483	NitFhit-RA	REFSEQ:NM_080383
FBtr0072484	CG13876-RA	REFSEQ:NM_138165
FBtr0072486	Dis3l2-RC	REFSEQ:NM_167805
FBtr0072487	Dis3l2-RA	REFSEQ:NM_138168
FBtr0072488	Kaz1-ORFB-RA	REFSEQ:NM_138169
FBtr0072493	Kaz1-ORFB-RF	REFSEQ:NM_167810
FBtr0072499	CG33229-RA	REFSEQ:NM_206223
FBtr0072501	mthl14-RA	REFSEQ:NM_167821
FBtr0072503	mRpL17-RA	REFSEQ:NM_079146
FBtr0072504	miple1-RA	REFSEQ:NM_138178
FBtr0072505	miple1-RB	REFSEQ:NM_206225
FBtr0072506	miple2-RA	REFSEQ:NM_143739
FBtr0072507	ttm2-RA	REFSEQ:NM_138179
FBtr0072515	fwd-RB	REFSEQ:NM_167826
FBtr0072516	fwd-RA	REFSEQ:NM_080083
FBtr0072517	fwd-RC	REFSEQ:NM_167827
FBtr0072518	CG32845-RA	REFSEQ:NM_167822
FBtr0072519	Tudor-SN-RA	REFSEQ:NM_138177
FBtr0072520	DIP2-RA	REFSEQ:NM_138175
FBtr0072521	E(bx)-RA	REFSEQ:NM_167819
FBtr0072522	E(bx)-RB	REFSEQ:NM_167817
FBtr0072523	E(bx)-RC	REFSEQ:NM_206224
FBtr0072524	pyx-RA	REFSEQ:NM_138171
FBtr0072525	pyx-RB	REFSEQ:NM_167813
FBtr0072526	thoc7-RA	REFSEQ:NM_167804
FBtr0072527	thoc7-RB	REFSEQ:NM_138167
FBtr0072528	Prp4k-RA	REFSEQ:NM_138166
FBtr0072529	Gk1-RA	REFSEQ:NM_079916
FBtr0072530	Gk1-RB	REFSEQ:NM_167803
FBtr0072532	rno-RB	REFSEQ:NM_206222
FBtr0072534	Vdup1-RB	REFSEQ:NM_138160
FBtr0072535	Vdup1-RC	REFSEQ:NM_167798
FBtr0072536	Vdup1-RA	REFSEQ:NM_206221
FBtr0072537	CG7049-RA	REFSEQ:NM_138159
FBtr0072538	Dic61B-RB	REFSEQ:NM_138157
FBtr0072539	Dic61B-RA	REFSEQ:NM_167796
FBtr0072540	CG12483-RA	REFSEQ:NM_144069
FBtr0072541	CG13405-RA	REFSEQ:NM_138155
FBtr0072546	CG1231-RA	REFSEQ:NM_138188
FBtr0072547	Roc1b-RA	REFSEQ:NM_144356
FBtr0072548	CG1233-RB	REFSEQ:NM_138190
FBtr0072549	CG1233-RA	REFSEQ:NM_167833
FBtr0072550	BORCS6-RA	REFSEQ:NM_138193
FBtr0072551	Hipk-RB	REFSEQ:NM_167834
FBtr0072552	Hipk-RA	REFSEQ:NM_138194
FBtr0072553	Ppm1-RA	REFSEQ:NM_138195
FBtr0072554	MED14-RA	REFSEQ:NM_138197
FBtr0072556	Gale-RA	REFSEQ:NM_138200
FBtr0072557	Rev1-RA	REFSEQ:NM_138203
FBtr0072558	MED30-RA	REFSEQ:NM_138202
FBtr0072559	CG3402-RA	REFSEQ:NM_138201
FBtr0072561	Reg-2-RA	REFSEQ:NM_138199
FBtr0072562	CG13893-RA	REFSEQ:NM_138198
FBtr0072563	Kah-RA	REFSEQ:NM_138196
FBtr0072564	Cypl-RA	REFSEQ:NM_079150
FBtr0072565	klar-RA	REFSEQ:NM_079149
FBtr0072566	CG13891-RA	REFSEQ:NM_138192
FBtr0072568	CG13884-RA	REFSEQ:NM_138191
FBtr0072569	Cdc5-RA	REFSEQ:NM_138189
FBtr0072570	mth-RA	REFSEQ:NM_079147
FBtr0072571	mth-RB	REFSEQ:NM_167829
FBtr0072572	mthl10-RA	REFSEQ:NM_138186
FBtr0072573	mthl10-RB	REFSEQ:NM_176268
FBtr0072574	mthl9-RA	REFSEQ:NM_138185
FBtr0072576	CG32344-RA	REFSEQ:NM_138184
FBtr0072577	RabX6-RA	REFSEQ:NM_138208
FBtr0072578	emc-RA	REFSEQ:NM_079152
FBtr0072583	CG13887-RC	REFSEQ:NM_167843
FBtr0072584	CG13887-RB	REFSEQ:NM_138218
FBtr0072585	Gr61a-RA	REFSEQ:NM_079153
FBtr0072586	Cep290-RA	REFSEQ:NM_138220
FBtr0072587	Dci-RA	REFSEQ:NM_138221
FBtr0072589	Usp10-RA	REFSEQ:NM_167844
FBtr0072592	nerfin-1-RA	REFSEQ:NM_080044
FBtr0072593	CG13907-RA	REFSEQ:NM_138225
FBtr0072594	dpr20-RA	REFSEQ:NM_138222
FBtr0072596	CG13901-RA	REFSEQ:NM_138217
FBtr0072597	Sf3b3-RA	REFSEQ:NM_167842
FBtr0072599	CG13898-RA	REFSEQ:NM_138214
FBtr0072601	hng3-RA	REFSEQ:NM_138213
FBtr0072602	CG13896-RA	REFSEQ:NM_138212
FBtr0072603	CkIIalpha-i3-RA	REFSEQ:NM_079151
FBtr0072604	CkIIalpha-i3-RB	REFSEQ:NM_167840
FBtr0072605	CG13895-RA	REFSEQ:NM_138211
FBtr0072606	CG13894-RA	REFSEQ:NM_138210
FBtr0072607	Vti1a-RA	REFSEQ:NM_138209
FBtr0072608	CG32483-RA	REFSEQ:NM_167839
FBtr0072609	hiro-RA	REFSEQ:NM_138207
FBtr0072610	ebd1-RA	REFSEQ:NM_138206
FBtr0072611	CG3386-RA	REFSEQ:NM_138205
FBtr0072612	CG17129-RC	REFSEQ:NM_167838
FBtr0072613	CG17129-RA	REFSEQ:NM_138204
FBtr0072614	CG17129-RB	REFSEQ:NM_167837
FBtr0072619	aln-RA	REFSEQ:NM_206227
FBtr0072621	CG9205-RA	REFSEQ:NM_138231
FBtr0072622	CG9205-RB	REFSEQ:NM_167851
FBtr0072625	CG13912-RA	REFSEQ:NM_138235
FBtr0072626	Aplip1-RA	REFSEQ:NM_167857
FBtr0072627	Aplip1-RB	REFSEQ:NM_167856
FBtr0072628	LysB-RA	REFSEQ:NM_079158
FBtr0072630	LysE-RA	REFSEQ:NM_057479
FBtr0072631	LysS-RA	REFSEQ:NM_057481
FBtr0072633	LysP-RA	REFSEQ:NM_057480
FBtr0072634	LysD-RA	REFSEQ:NM_057475
FBtr0072635	CG9119-RA	REFSEQ:NM_138237
FBtr0072637	LysX-RA	REFSEQ:NM_079157
FBtr0072638	Trhn-RA	REFSEQ:NM_138236
FBtr0072639	bab2-RA	REFSEQ:NM_079155
FBtr0072642	bab1-RB	REFSEQ:NM_167852
FBtr0072644	trio-RA	REFSEQ:NM_143703
FBtr0072645	trio-RC	REFSEQ:NM_167847
FBtr0072646	trio-RD	REFSEQ:NM_167848
FBtr0072647	trio-RB	REFSEQ:NM_167849
FBtr0072648	trio-RE	REFSEQ:NM_167850
FBtr0072649	trio-RF	REFSEQ:NM_206228
FBtr0072651	galene-RA	REFSEQ:NM_138240
FBtr0072652	Sac1-RA	REFSEQ:NM_138243
FBtr0072653	Bfc-RA	REFSEQ:NM_138244
FBtr0072655	CG9130-RB	REFSEQ:NM_001031924
FBtr0072657	CG9130-RA	REFSEQ:NM_001031925
FBtr0072659	tfc-RB	REFSEQ:NM_138247
FBtr0072660	tfc-RA	REFSEQ:NM_167863
FBtr0072661	tfc-RC	REFSEQ:NM_167864
FBtr0072662	CG32333-RA	REFSEQ:NM_167865
FBtr0072663	Rabex-5-RA	REFSEQ:NM_138249
FBtr0072667	Acat2-RA	REFSEQ:NM_138250
FBtr0072668	Ctr9-RB	REFSEQ:NM_176271
FBtr0072669	Ctr9-RA	REFSEQ:NM_176270
FBtr0072670	Herc4-RB	REFSEQ:NM_138254
FBtr0072671	Herc4-RA	REFSEQ:NM_167868
FBtr0072672	Myo61F-RC	REFSEQ:NM_167872
FBtr0072673	Myo61F-RB	REFSEQ:NM_167871
FBtr0072674	Myo61F-RD	REFSEQ:NM_057586
FBtr0072675	Myo61F-RA	REFSEQ:NM_167870
FBtr0072676	ND-ACP-RA	REFSEQ:NM_057655
FBtr0072677	ND-ACP-RB	REFSEQ:NM_057654
FBtr0072678	msd1-RA	REFSEQ:NM_138256
FBtr0072679	Hmbs-RA	REFSEQ:NM_138259
FBtr0072680	CG9166-RA	REFSEQ:NM_138261
FBtr0072681	ru-RA	REFSEQ:NM_080051
FBtr0072693	FucTD-RA	REFSEQ:NM_138263
FBtr0072694	rho-RA	REFSEQ:NM_079159
FBtr0072695	robl62A-RA	REFSEQ:NM_138266
FBtr0072697	Psa-RD	REFSEQ:NM_167886
FBtr0072698	Psa-RB	REFSEQ:NM_139360
FBtr0072699	Psa-RC	REFSEQ:NM_167883
FBtr0072700	Psa-RA	REFSEQ:NM_167885
FBtr0072701	Psa-RE	REFSEQ:NM_167884
FBtr0072702	Psa-RF	REFSEQ:NM_167887
FBtr0072703	Iml1-RA	REFSEQ:NM_167889
FBtr0072704	Iml1-RB	REFSEQ:NM_139361
FBtr0072705	Iml1-RC	REFSEQ:NM_167888
FBtr0072706	cue-RA	REFSEQ:NM_138269
FBtr0072707	hfp-RC	REFSEQ:NM_167881
FBtr0072708	hfp-RD	REFSEQ:NM_167882
FBtr0072709	hfp-RA	REFSEQ:NM_080384
FBtr0072710	hfp-RB	REFSEQ:NM_167880
FBtr0072711	CG12084-RA	REFSEQ:NM_138268
FBtr0072712	stet-RB	REFSEQ:NM_176272
FBtr0072713	stet-RA	REFSEQ:NM_176273
FBtr0072714	Naa30B-RA	REFSEQ:NM_167877
FBtr0072716	Ptp61F-RC	REFSEQ:NM_167874
FBtr0072717	Ptp61F-RB	REFSEQ:NM_057340
FBtr0072718	Ptp61F-RA	REFSEQ:NM_057339
FBtr0072719	Ptp61F-RD	REFSEQ:NM_167875
FBtr0072720	CG9173-RA	REFSEQ:NM_138264
FBtr0072721	indra-RB	REFSEQ:NM_167873
FBtr0072722	indra-RA	REFSEQ:NM_138260
FBtr0072723	CG2211-RA	REFSEQ:NM_138258
FBtr0072724	msd5-RA	REFSEQ:NM_138257
FBtr0072725	CG9184-RA	REFSEQ:NM_167869
FBtr0072726	CG9184-RB	REFSEQ:NM_138255
FBtr0072727	sturkopf-RB	REFSEQ:NM_138253
FBtr0072728	sturkopf-RA	REFSEQ:NM_167867
FBtr0072729	Nt5a-RA	REFSEQ:NM_138251
FBtr0072730	Rac1-RA	REFSEQ:NM_057602
FBtr0072731	Psf1-RA	REFSEQ:NM_138242
FBtr0072732	CG32318-RA	REFSEQ:NM_206230
FBtr0072733	Klp61F-RA	REFSEQ:NM_057470
FBtr0072734	CG9192-RA	REFSEQ:NM_138241
FBtr0072735	pns-RA	REFSEQ:NM_139363
FBtr0072736	pns-RB	REFSEQ:NM_167890
FBtr0072737	pns-RC	REFSEQ:NM_206232
FBtr0072738	Pcyt1-RA	REFSEQ:NM_139364
FBtr0072739	Pcyt1-RD	REFSEQ:NM_167894
FBtr0072740	Pcyt1-RB	REFSEQ:NM_167892
FBtr0072741	Pcyt1-RC	REFSEQ:NM_167893
FBtr0072742	Pcyt2-RA	REFSEQ:NM_139365
FBtr0072743	Pex10-RA	REFSEQ:NM_139367
FBtr0072744	CG12003-RA	REFSEQ:NM_139368
FBtr0072745	Tmep-RA	REFSEQ:NM_139370
FBtr0072746	Tmep-RB	REFSEQ:NM_167897
FBtr0072747	CG13917-RA	REFSEQ:NM_139371
FBtr0072754	ABCB7-RA	REFSEQ:NM_167902
FBtr0072755	ABCB7-RB	REFSEQ:NM_167903
FBtr0072757	CG33230-RA	REFSEQ:NM_206233
FBtr0072758	Bgb-RA	REFSEQ:NM_057717
FBtr0072759	CG13919-RA	REFSEQ:NM_139380
FBtr0072760	Bro-RA	REFSEQ:NM_057718
FBtr0072761	CG13920-RA	REFSEQ:NM_139382
FBtr0072762	CG7970-RA	REFSEQ:NM_139384
FBtr0072763	CG7974-RA	REFSEQ:NM_139386
FBtr0072764	CG12011-RA	REFSEQ:NM_139389
FBtr0072766	CG12035-RA	REFSEQ:NM_139395
FBtr0072767	Gk2-RC	REFSEQ:NM_167913
FBtr0072768	Gk2-RE	REFSEQ:NM_167915
FBtr0072769	Gk2-RD	REFSEQ:NM_167914
FBtr0072770	Gk2-RB	REFSEQ:NM_167912
FBtr0072771	Gk2-RA	REFSEQ:NM_139398
FBtr0072773	CG13921-RB	REFSEQ:NM_206235
FBtr0072774	CG8001-RA	REFSEQ:NM_139400
FBtr0072775	PolD2-RA	REFSEQ:NM_139402
FBtr0072776	mRpL46-RA	REFSEQ:NM_139404
FBtr0072777	Cdc37-RA	REFSEQ:NM_057658
FBtr0072778	CG12020-RA	REFSEQ:NM_139405
FBtr0072779	Patj-RC	REFSEQ:NM_057994
FBtr0072781	Patj-RB	REFSEQ:NM_167917
FBtr0072784	GV1-RA	REFSEQ:NM_139408
FBtr0072785	GV1-RB	REFSEQ:NM_167920
FBtr0072786	Cpr62Bb-RA	REFSEQ:NM_139410
FBtr0072788	JTBR-RA	REFSEQ:NM_058055
FBtr0072789	alpha-Spec-RA	REFSEQ:NM_057391
FBtr0072790	dlt-RA	REFSEQ:NM_167916
FBtr0072791	CG2021-RA	REFSEQ:NM_139403
FBtr0072792	CG13933-RA	REFSEQ:NM_139401
FBtr0072795	Cht2-RA	REFSEQ:NM_057950
FBtr0072796	PIG-Wb-RA	REFSEQ:NM_139397
FBtr0072797	Oseg4-RA	REFSEQ:NM_139396
FBtr0072798	drpr-RA	REFSEQ:NM_058102
FBtr0072799	drpr-RB	REFSEQ:NM_167911
FBtr0072800	CG18171-RA	REFSEQ:NM_139394
FBtr0072802	CG13931-RA	REFSEQ:NM_139390
FBtr0072803	CG13930-RA	REFSEQ:NM_139388
FBtr0072805	RpL23A-RA	REFSEQ:NM_079162
FBtr0072806	Srrm234-RA	REFSEQ:NM_139385
FBtr0072807	Srrm234-RC	REFSEQ:NM_167909
FBtr0072808	Srrm234-RB	REFSEQ:NM_167910
FBtr0072809	Vta1-RA	REFSEQ:NM_139383
FBtr0072810	CG17249-RA	REFSEQ:NM_139381
FBtr0072811	alphaCOP-RB	REFSEQ:NM_167908
FBtr0072812	alphaCOP-RA	REFSEQ:NM_058047
FBtr0072813	Mettl2-RA	REFSEQ:NM_167907
FBtr0072814	Mettl2-RB	REFSEQ:NM_139379
FBtr0072815	nSyb-RA	REFSEQ:NM_057710
FBtr0072819	nSyb-RE	REFSEQ:NM_206234
FBtr0072821	GC-RA	REFSEQ:NM_079161
FBtr0072822	CG13928-RA	REFSEQ:NM_139378
FBtr0072823	CG13926-RA	REFSEQ:NM_139376
FBtr0072824	CG12105-RA	REFSEQ:NM_139375
FBtr0072825	CG12104-RA	REFSEQ:NM_139372
FBtr0072826	CG7879-RA	REFSEQ:NM_139369
FBtr0072827	CG7879-RB	REFSEQ:NM_167896
FBtr0072828	CG12099-RB	REFSEQ:NM_139366
FBtr0072829	CG12099-RA	REFSEQ:NM_167895
FBtr0072830	CG32313-RA	REFSEQ:NM_167891
FBtr0072831	CG12091-RA	REFSEQ:NM_139362
FBtr0072832	CG12024-RA	REFSEQ:NM_139413
FBtr0072833	CG12024-RB	REFSEQ:NM_167921
FBtr0072834	CG12025-RA	REFSEQ:NM_139414
FBtr0072836	Tmhs-RB	REFSEQ:NM_167926
FBtr0072837	Tmhs-RA	REFSEQ:NM_139417
FBtr0072841	Mfap1-RA	REFSEQ:NM_139422
FBtr0072842	Cnb-RA	REFSEQ:NM_139423
FBtr0072843	Scot-RB	REFSEQ:NM_167928
FBtr0072844	Scot-RA	REFSEQ:NM_139426
FBtr0072845	acs-RA	REFSEQ:NM_139429
FBtr0072848	sls-RA	REFSEQ:NM_079937
FBtr0072852	CG11815-RA	REFSEQ:NM_139428
FBtr0072853	CG1927-RA	REFSEQ:NM_139427
FBtr0072856	mu2-RA	REFSEQ:NM_079163
FBtr0072857	mu2-RB	REFSEQ:NM_167927
FBtr0072858	CG5687-RA	REFSEQ:NM_139421
FBtr0072864	dre4-RA	REFSEQ:NM_057262
FBtr0072865	dre4-RB	REFSEQ:NM_167922
FBtr0072866	HBS1-RA	REFSEQ:NM_144472
FBtr0072867	Rap1-RA	REFSEQ:NM_057509
FBtr0072869	Cpr62Bc-RA	REFSEQ:NM_139411
FBtr0072871	CG8960-RA	REFSEQ:NM_139441
FBtr0072872	CG8960-RB	REFSEQ:NM_167937
FBtr0072874	ACXD-RA	REFSEQ:NM_138984
FBtr0072877	Elp5-RA	REFSEQ:NM_139447
FBtr0072878	CG13807-RA	REFSEQ:NM_139449
FBtr0072879	CG13806-RA	REFSEQ:NM_139451
FBtr0072880	obst-I-RA	REFSEQ:NM_167943
FBtr0072881	CG32302-RA	REFSEQ:NM_167944
FBtr0072883	yellow-g2-RA	REFSEQ:NM_139453
FBtr0072887	MsR1-RA	REFSEQ:NM_139456
FBtr0072888	CG13801-RA	REFSEQ:NM_139457
FBtr0072889	CG8993-RA	REFSEQ:NM_139459
FBtr0072890	CG9004-RA	REFSEQ:NM_139460
FBtr0072898	CG32299-RA	REFSEQ:NM_167946
FBtr0072899	CG15877-RA	REFSEQ:NM_139461
FBtr0072900	mRpL23-RA	REFSEQ:NM_079165
FBtr0072901	CG1317-RB	REFSEQ:NM_139458
FBtr0072902	yellow-g-RA	REFSEQ:NM_079164
FBtr0072903	ecd-RA	REFSEQ:NM_139450
FBtr0072904	oxt-RB	REFSEQ:NM_139448
FBtr0072905	CG1275-RB	REFSEQ:NM_139446
FBtr0072906	CG1275-RC	REFSEQ:NM_167941
FBtr0072907	CG1275-RA	REFSEQ:NM_167942
FBtr0072908	CG1275-RD	REFSEQ:NM_206241
FBtr0072909	CG9018-RB	REFSEQ:NM_167938
FBtr0072910	CG9018-RA	REFSEQ:NM_139444
FBtr0072911	CG15878-RA	REFSEQ:NM_139442
FBtr0072912	CG5707-RA	REFSEQ:NM_143808
FBtr0072913	CG15820-RA	REFSEQ:NM_139439
FBtr0072914	CR15821-RA	REFSEQ:NR_001931
FBtr0072915	CG5704-RA	REFSEQ:NM_143811
FBtr0072916	CG15879-RA	REFSEQ:NM_139437
FBtr0072921	CG1146-RB	REFSEQ:NM_167950
FBtr0072922	CG1146-RC	REFSEQ:NM_167951
FBtr0072923	CG1146-RA	REFSEQ:NM_139468
FBtr0072924	RpL8-RA	REFSEQ:NM_079987
FBtr0072925	RpL8-RB	REFSEQ:NM_167955
FBtr0072926	dos-RA	REFSEQ:NM_079166
FBtr0072927	dos-RB	REFSEQ:NM_167956
FBtr0072928	CG16984-RA	REFSEQ:NM_139472
FBtr0072929	CG16985-RA	REFSEQ:NM_139473
FBtr0072930	CG16986-RA	REFSEQ:NM_139475
FBtr0072931	MEP-1-RC	REFSEQ:NM_167959
FBtr0072932	MEP-1-RA	REFSEQ:NM_139476
FBtr0072933	MEP-1-RB	REFSEQ:NM_167958
FBtr0072934	MEP-1-RD	REFSEQ:NM_167960
FBtr0072935	MEP-1-RF	REFSEQ:NM_167962
FBtr0072936	MEP-1-RE	REFSEQ:NM_167961
FBtr0072937	CG1143-RA	REFSEQ:NM_139478
FBtr0072938	CG1246-RB	REFSEQ:NM_139479
FBtr0072943	Acp62F-RA	REFSEQ:NM_079168
FBtr0072948	ProRS-m-RA	REFSEQ:NM_139480
FBtr0072949	CG14949-RA	REFSEQ:NM_139477
FBtr0072950	Pxn-RB	REFSEQ:NM_167957
FBtr0072951	Pxn-RA	REFSEQ:NM_079167
FBtr0072952	Pxn-RC	REFSEQ:NM_206255
FBtr0072953	Pxn-RD	REFSEQ:NM_206254
FBtr0072954	Pxn-RE	REFSEQ:NM_206253
FBtr0072955	CG12182-RA	REFSEQ:NM_139474
FBtr0072956	msn-RA	REFSEQ:NM_079940
FBtr0072957	msn-RB	REFSEQ:NM_206252
FBtr0072958	msn-RD	REFSEQ:NM_206251
FBtr0072959	msn-RC	REFSEQ:NM_206250
FBtr0072962	CG32295-RA	REFSEQ:NM_167954
FBtr0072963	CG16758-RB	REFSEQ:NM_139470
FBtr0072964	CG16758-RD	REFSEQ:NM_167952
FBtr0072965	CG16758-RE	REFSEQ:NM_206248
FBtr0072966	CG16758-RF	REFSEQ:NM_206247
FBtr0072967	Cyp4d20-RA	REFSEQ:NM_139466
FBtr0072968	CG16762-RA	REFSEQ:NM_139465
FBtr0072969	Non2-RA	REFSEQ:NM_139488
FBtr0072970	Atg2-RA	REFSEQ:NM_139491
FBtr0072972	Pgant6-RA	REFSEQ:NM_139492
FBtr0072973	Pgant6-RB	REFSEQ:NM_167966
FBtr0072977	Or63a-RA	REFSEQ:NM_079171
FBtr0072978	CPT2-RA	REFSEQ:NM_139499
FBtr0072979	CG2113-RA	REFSEQ:NM_139500
FBtr0072980	FMRFaR-RA	REFSEQ:NM_139501
FBtr0072981	CG2162-RA	REFSEQ:NM_139503
FBtr0072982	Prx4-RA	REFSEQ:NM_080263
FBtr0072983	Prx4-RB	REFSEQ:NM_167971
FBtr0072984	Sk2-RA	REFSEQ:NM_139505
FBtr0072985	CG32485-RA	REFSEQ:NM_167972
FBtr0072986	CG1271-RB	REFSEQ:NM_167974
FBtr0072987	CG1271-RA	REFSEQ:NM_139506
FBtr0072988	CG1271-RD	REFSEQ:NM_167973
FBtr0072989	CG1271-RC	REFSEQ:NM_206259
FBtr0072990	CG16753-RA	REFSEQ:NM_139507
FBtr0072991	PAN3-RG	REFSEQ:NM_139510
FBtr0072992	PAN3-RJ	REFSEQ:NM_167975
FBtr0072993	PAN3-RB	REFSEQ:NM_167983
FBtr0072994	PAN3-RC	REFSEQ:NM_167980
FBtr0072995	PAN3-RD	REFSEQ:NM_167984
FBtr0072996	PAN3-RA	REFSEQ:NM_167982
FBtr0072998	PAN3-RK	REFSEQ:NM_167976
FBtr0072999	PAN3-RL	REFSEQ:NM_167979
FBtr0073000	PAN3-RM	REFSEQ:NM_167977
FBtr0073001	PAN3-RN	REFSEQ:NM_167978
FBtr0073002	PAN3-RF	REFSEQ:NM_206261
FBtr0073003	PAN3-RH	REFSEQ:NM_206260
FBtr0073004	CG32486-RD	REFSEQ:NM_139508
FBtr0073005	scramb2-RA	REFSEQ:NM_139504
FBtr0073006	aly-RA	REFSEQ:NM_080118
FBtr0073007	CG32487-RA	REFSEQ:NM_167970
FBtr0073008	CG32488-RA	REFSEQ:NM_167969
FBtr0073009	CG32846-RA	REFSEQ:NM_167968
